iter	Passed	Remaining
248	633	1909
249	635	1905
250	637	1902
251	639	1898
252	641	1893
253	643	1889
254	645	1885
255	647	1881
256	649	1877
257	651	1873
258	653	1870
259	655	1866
260	657	1861
261	659	1858
262	661	1853
263	663	1849
264	665	1846
265	667	1841
266	669	1838
267	671	1834
268	673	1830
269	675	1826
270	677	1822
271	679	1817
272	681	1814
273	684	1813
274	686	1810
275	688	1807
276	690	1803
277	694	1803
278	697	1801
279	701	1802
280	703	1800
281	705	1797
282	708	1793
283	710	1790
284	712	1787
285	714	1784
286	716	1780
287	719	1778
288	721	1774
289	723	1770
290	725	1767
291	727	1763
292	729	1760
293	731	1756
294	733	1752
295	735	1749
296	737	1745
297	739	1741
298	741	1737
299	743	1733
300	745	1730
301	747	1726
302	749	1724
303	751	1720
304	753	1717
305	755	1713
306	757	1709
307	759	1706
308	762	1704
309	764	1701
310	766	1698
311	768	1694
312	770	1691
313	773	1689
314	775	1687
315	778	1684
316	780	1681
317	783	1679
318	785	1677
319	787	1674
320	789	1670
321	792	1668
322	794	1665
323	796	1662
324	798	1659
325	801	1656
326	803	1653
327	805	1649
328	807	1646
329	809	1642
330	811	1639
331	813	1636
332	815	1633
333	817	1629
334	819	1625
335	820	1622
336	822	1618
337	824	1615
338	826	1612
339	828	1608
340	830	1605
341	832	1602
342	834	1599
343	836	1595
344	838	1592
345	841	1589
346	843	1586
347	845	1584
348	847	1581
349	850	1578
350	852	1576
351	854	1572
352	856	1570
353	858	1567
354	860	1564
355	862	1560
356	864	1557
357	866	1554
358	868	1551
359	870	1548
360	872	1545
361	875	1542
362	877	1539
363	879	1536
364	881	1532
365	883	1529
366	885	1526
367	887	1523
368	889	1521
369	891	1518
370	893	1515
371	896	1512
372	897	1509
373	899	1506
374	902	1503
375	904	1500
376	906	1497
377	908	1494
378	910	1491
379	912	1488
380	914	1485
381	916	1482
382	918	1479
383	920	1477
384	922	1474
385	925	1471
386	926	1468
387	928	1465
388	930	1461
389	932	1458
390	934	1455
391	936	1452
392	938	1450
393	940	1447
394	942	1444
395	944	1441
396	946	1438
397	948	1434
398	950	1432
399	952	1429
400	955	1427
401	957	1424
402	959	1421
403	961	1418
404	963	1415
405	965	1412
406	968	1411
407	972	1410
408	974	1407
409	976	1404
410	978	1401
411	980	1398
412	982	1395
413	984	1393
414	987	1391
415	989	1389
416	991	1386
417	993	1383
418	995	1380
419	997	1378
420	1000	1376
421	1003	1373
422	1005	1371
423	1007	1368
424	1009	1365
425	1011	1362
426	1013	1359
427	1015	1357
428	1017	1354
429	1020	1352
430	1022	1349
431	1024	1346
432	1026	1343
433	1028	1340
434	1030	1337
435	1032	1335
436	1034	1332
437	1036	1329
438	1038	1327
439	1040	1324
440	1042	1321
441	1044	1318
442	1047	1317
443	1050	1314
444	1052	1312
445	1054	1310
446	1057	1307
447	1059	1305
448	1061	1303
449	1063	1300
450	1066	1298
451	1069	1296
452	1071	1293
453	1073	1290
454	1075	1288
455	1077	1285
456	1080	1283
457	1082	1281
458	1086	1280
459	1088	1278
460	1090	1275
461	1093	1273
462	1095	1271
463	1098	1268
464	1100	1266
465	1102	1263
466	1104	1260
467	1106	1257
468	1108	1255
469	1110	1252
470	1112	1249
471	1115	1247
472	1117	1245
473	1120	1242
474	1122	1240
475	1124	1237
476	1126	1235
477	1129	1233
478	1132	1231
479	1134	1229
480	1137	1227
481	1139	1224
482	1142	1222
483	1145	1220
484	1149	1220
485	1152	1219
486	1155	1217
487	1158	1215
488	1162	1215
489	1167	1215
490	1169	1212
491	1171	1209
492	1174	1207
493	1176	1205
494	1179	1202
495	1181	1200
496	1183	1197
497	1185	1195
498	1187	1192
499	1190	1190
500	1192	1188
501	1195	1185
502	1197	1182
503	1199	1180
504	1201	1177
505	1203	1174
506	1206	1172
507	1208	1170
508	1211	1168
509	1213	1165
510	1215	1163
511	1217	1160
512	1219	1157
513	1222	1155
514	1224	1153
515	1226	1150
516	1228	1147
517	1230	1145
518	1232	1142
519	1234	1139
520	1236	1137
521	1239	1135
522	1241	1132
523	1244	1130
524	1246	1127
525	1248	1124
526	1250	1122
527	1252	1119
528	1254	1116
529	1256	1114
530	1259	1112
531	1261	1110
532	1263	1107
533	1265	1104
534	1267	1101
535	1269	1099
536	1273	1098
537	1275	1095
538	1278	1093
539	1280	1091
540	1283	1088
541	1285	1086
542	1287	1083
543	1290	1081
544	1292	1078
545	1294	1076
546	1296	1073
547	1299	1071
548	1302	1069
549	1303	1066
550	1306	1064
551	1308	1061
552	1311	1059
553	1314	1057
554	1316	1055
555	1318	1053
556	1321	1050
557	1323	1048
558	1325	1045
559	1327	1043
560	1329	1040
561	1331	1037
562	1333	1035
563	1335	1032
564	1338	1030
565	1340	1027
566	1342	1024
567	1345	1023
568	1348	1021
569	1352	1020
570	1357	1020
571	1361	1019
572	1365	1017
573	1368	1015
574	1372	1014
575	1375	1012
576	1378	1010
577	1381	1008
578	1383	1005
579	1385	1003
580	1387	1000
581	1390	998
582	1392	995
583	1394	993
584	1396	990
585	1398	988
586	1401	985
587	1403	983
588	1405	980
589	1407	978
590	1409	975
591	1411	972
592	1414	970
593	1416	968
594	1418	965
595	1420	963
596	1423	960
597	1425	958
598	1427	955
599	1430	953
600	1432	951
601	1434	948
602	1436	946
603	1439	943
604	1441	941
605	1444	939
606	1447	937
607	1450	935
608	1453	932
609	1455	930
610	1457	928
611	1460	925
612	1463	923
613	1465	921
614	1468	919
615	1470	916
616	1472	914
617	1474	911
618	1477	909
619	1479	906
620	1482	904
621	1484	902
622	1486	899
623	1489	897
624	1491	894
625	1493	892
626	1496	890
627	1499	887
628	1501	885
629	1503	882
630	1505	880
631	1507	877
632	1509	875
633	1511	872
634	1513	870
635	1515	867
636	1517	864
637	1519	862
638	1521	859
639	1523	857
640	1525	854
641	1528	852
642	1530	849
643	1532	847
644	1534	844
645	1536	842
646	1538	839
647	1540	837
648	1542	834
649	1545	832
650	1548	830
651	1550	827
652	1552	825
653	1554	822
654	1557	820
655	1560	818
656	1562	815
657	1564	812
658	1566	810
659	1568	807
660	1570	805
661	1572	802
662	1574	800
663	1576	797
664	1578	795
665	1581	792
666	1582	790
667	1584	787
668	1586	785
669	1589	782
670	1591	780
671	1593	777
672	1595	775
673	1597	772
674	1599	770
675	1601	767
676	1603	764
677	1605	762
678	1607	760
679	1609	757
680	1611	755
681	1614	752
682	1616	750
683	1619	748
684	1621	745
685	1624	743
686	1626	741
687	1628	738
688	1630	736
689	1632	733
690	1634	731
691	1637	728
692	1639	726
693	1642	724
694	1644	721
695	1646	719
696	1648	716
697	1650	714
698	1653	712
699	1656	709
700	1659	707
701	1661	705
702	1663	702
703	1665	700
704	1668	697
705	1670	695
706	1672	693
707	1674	690
708	1676	688
709	1678	685
710	1680	683
711	1683	680
712	1685	678
713	1687	675
714	1689	673
715	1691	671
716	1693	668
717	1695	665
718	1697	663
719	1699	661
720	1701	658
721	1704	656
722	1706	653
723	1708	651
724	1710	648
725	1712	646
726	1714	643
727	1716	641
728	1719	639
729	1721	636
730	1723	634
731	1725	631
732	1727	629
733	1729	626
734	1731	624
735	1734	621
736	1736	619
737	1739	617
738	1742	615
739	1745	613
740	1747	610
741	1750	608
742	1752	606
743	1754	603
744	1757	601
745	1759	598
746	1761	596
747	1763	594
748	1766	591
749	1768	589
750	1771	587
751	1773	584
752	1775	582
753	1777	580
754	1780	577
755	1782	575
756	1784	572
757	1787	570
758	1789	568
759	1791	565
760	1793	563
761	1795	560
762	1798	558
763	1800	556
764	1802	553
765	1804	551
766	1806	548
767	1808	546
768	1810	543
769	1812	541
770	1814	538
771	1816	536
772	1819	534
773	1821	531
774	1823	529
775	1825	526
776	1827	524
777	1829	522
778	1831	519
779	1833	517
780	1835	514
781	1837	512
782	1839	509
783	1842	507
784	1844	505
785	1846	502
786	1848	500
787	1850	497
788	1852	495
789	1854	493
790	1856	490
791	1859	488
792	1861	485
793	1863	483
794	1865	481
795	1868	478
796	1870	476
797	1872	473
798	1874	471
799	1876	469
800	1878	466
801	1880	464
802	1883	461
803	1885	459
804	1887	457
805	1889	454
806	1891	452
807	1893	449
808	1895	447
809	1897	445
810	1899	442
811	1901	440
812	1904	437
813	1906	435
814	1908	433
815	1910	430
816	1912	428
817	1914	426
818	1916	423
819	1919	421
820	1921	418
821	1924	416
822	1926	414
823	1928	411
824	1930	409
825	1932	407
826	1935	404
827	1939	402
828	1941	400
829	1943	398
830	1945	395
831	1948	393
832	1950	390
833	1952	388
834	1955	386
835	1957	383
836	1959	381
837	1961	379
838	1963	376
839	1965	374
840	1967	372
841	1970	369
842	1972	367
843	1974	364
844	1976	362
845	1978	360
846	1980	357
847	1983	355
848	1985	353
849	1987	350
850	1990	348
851	1992	346
852	1994	343
853	1996	341
854	1998	338
855	2000	336
856	2003	334
857	2005	331
858	2009	329
859	2011	327
860	2013	325
861	2015	322
862	2018	320
863	2020	318
864	2022	315
865	2024	313
866	2027	310
867	2029	308
868	2031	306
869	2033	303
870	2036	301
871	2038	299
872	2040	296
873	2043	294
874	2045	292
875	2047	289
876	2049	287
877	2051	285
878	2053	282
879	2055	280
880	2058	278
881	2060	275
882	2062	273
883	2064	270
884	2067	268
885	2069	266
886	2071	263
887	2073	261
888	2075	259
889	2077	256
890	2079	254
891	2082	252
892	2085	249
893	2087	247
894	2090	245
895	2092	242
896	2095	240
897	2097	238
898	2100	235
899	2102	233
900	2105	231
901	2107	228
902	2110	226
903	2111	224
904	2114	221
905	2116	219
906	2119	217
907	2121	214
908	2123	212
909	2127	210
910	2130	208
911	2133	205
912	2136	203
913	2137	201
914	2140	198
915	2142	196
916	2144	194
917	2147	191
918	2150	189
919	2152	187
920	2155	184
921	2157	182
922	2160	180
923	2162	177
924	2165	175
925	2167	173
926	2170	170
927	2172	168
928	2174	166
929	2176	163
930	2179	161
931	2181	159
932	2184	156
933	2186	154
934	2188	152
935	2190	149
936	2193	147
937	2195	145
938	2197	142
939	2200	140
940	2202	138
941	2204	135
942	2206	133
943	2208	131
944	2210	128
945	2212	126
946	2215	123
947	2217	121
948	2219	119
949	2221	116
950	2223	114
951	2226	112
952	2228	109
953	2231	107
954	2234	105
955	2236	102
956	2238	100
957	2241	98
958	2244	95
959	2246	93
960	2248	91
961	2251	88
962	2253	86
963	2255	84
964	2257	81
965	2259	79
966	2262	77
967	2264	74
968	2266	72
969	2268	70
970	2270	67
971	2272	65
972	2274	63
973	2276	60
974	2279	58
975	2281	56
976	2283	53
977	2285	51
978	2287	49
979	2289	46
980	2291	44
981	2294	42
982	2296	39
983	2298	37
984	2300	35
985	2302	32
986	2305	30
987	2307	28
988	2309	25
989	2311	23
990	2314	21
991	2316	18
992	2318	16
993	2322	14
994	2325	11
995	2327	9
996	2329	7
997	2331	4
998	2334	2
999	2336	0
