iter	RMSE
522	0.7003373399
523	0.6998038512
524	0.6988803733
525	0.6983899944
526	0.6974762159
527	0.6969227407
528	0.6964806131
529	0.6960308464
530	0.6955630958
531	0.6953481683
532	0.6952176372
533	0.6948215986
534	0.6942417646
535	0.6936228086
536	0.6927706009
537	0.6921715377
538	0.6917514629
539	0.6909737086
540	0.6906211699
541	0.6902434722
542	0.6894845446
543	0.6891330792
544	0.6885895658
545	0.6878665816
546	0.6874130168
547	0.6870865347
548	0.6865579419
549	0.6865418904
550	0.6860820283
551	0.6860666503
552	0.6854395084
553	0.6850711025
554	0.684750277
555	0.6842306673
556	0.6835028243
557	0.6829260446
558	0.6825578044
559	0.6819931961
560	0.681508961
561	0.6811729085
562	0.6808677343
563	0.6802114795
564	0.67991718
565	0.6796123202
566	0.6792489718
567	0.6787981586
568	0.6784414111
569	0.6781314394
570	0.6775494234
571	0.6770402756
572	0.6766407172
573	0.6762003542
574	0.6756961269
575	0.6754175712
576	0.6750224928
577	0.6745426099
578	0.6742063707
579	0.6739373643
580	0.6735491343
581	0.6734559262
582	0.6730269813
583	0.6725878951
584	0.6719922552
585	0.6717494132
586	0.6714344881
587	0.6708302667
588	0.6703110566
589	0.6698519463
590	0.6692934297
591	0.6689165176
592	0.6683747669
593	0.6679275581
594	0.6673350548
595	0.666980242
596	0.6664482161
597	0.6659792567
598	0.66553879
599	0.6652440513
600	0.6648717295
601	0.6642093157
602	0.663729238
603	0.6633894558
604	0.6629768506
605	0.6624249112
606	0.6621024272
607	0.661500549
608	0.6609620194
609	0.6606058774
610	0.6600672537
611	0.6595218409
612	0.6592653779
613	0.658902701
614	0.6585171952
615	0.6580625163
616	0.657681127
617	0.6573007419
618	0.6570225128
619	0.6565117922
620	0.6561792452
621	0.6554045622
622	0.6549238474
623	0.6545550213
624	0.654065288
625	0.6535075313
626	0.6529838629
627	0.6526380007
628	0.6523889797
629	0.6519579522
630	0.6513666261
631	0.6506842701
632	0.6503965335
633	0.6498519695
634	0.6494678604
635	0.6490132005
636	0.6486473323
637	0.6481717486
638	0.6476246836
639	0.6471645104
640	0.6468574691
641	0.6464341857
642	0.6460390821
643	0.6456089219
644	0.6453802176
645	0.64502518
646	0.6445476046
647	0.6442195889
648	0.6438634932
649	0.6431198244
650	0.6428677112
651	0.642718376
652	0.6425559251
653	0.6422234641
654	0.641850362
655	0.641544138
656	0.6408107147
657	0.6404756804
658	0.6397637629
659	0.6393181645
660	0.638973316
661	0.6385555917
662	0.6382020691
663	0.6378099353
664	0.6371764276
665	0.6367777402
666	0.6363361438
667	0.6358851003
668	0.6354712257
669	0.6352182219
670	0.6348484739
671	0.6345033089
672	0.6340774271
673	0.633562091
674	0.6329727298
675	0.6326570934
676	0.6323233057
677	0.6319691407
678	0.6316532695
679	0.6310684939
680	0.6307994912
681	0.6304658115
682	0.6300435141
683	0.6293795934
684	0.6289703527
685	0.6286062208
686	0.6280782095
687	0.6273089976
688	0.6269724199
689	0.6266207433
690	0.6260814019
691	0.6258621758
692	0.6253615382
693	0.6250195005
694	0.624590028
695	0.6243965349
696	0.6238651134
697	0.6234402323
698	0.622991118
699	0.6226700393
700	0.6224550532
701	0.6223082805
702	0.6219842864
703	0.6216562579
704	0.621184228
705	0.6209825981
706	0.6206067706
707	0.6203875815
708	0.6199665584
709	0.619554045
710	0.6191991687
711	0.6187612746
712	0.6183831883
713	0.6180316382
714	0.6176361076
715	0.6170648392
716	0.6168021133
717	0.6165755223
718	0.6160625875
719	0.6156101694
720	0.6152924976
721	0.614835324
722	0.6144533917
723	0.6138056827
724	0.6134934382
725	0.6130403663
726	0.6126838966
727	0.612011353
728	0.6113454195
729	0.6107110821
730	0.6103888912
731	0.6098808953
732	0.6094497757
733	0.6091129105
734	0.6089275987
735	0.6085739223
736	0.6083418486
737	0.6081253992
738	0.6078758331
739	0.6075517479
740	0.6073661163
741	0.6071633311
742	0.6069049847
743	0.6065152333
744	0.6062686203
745	0.6057992445
746	0.6053208564
747	0.6049886237
748	0.6047440859
749	0.6045744448
750	0.6042160204
751	0.6037501264
752	0.6034518303
753	0.6030570119
754	0.6028158159
755	0.6022957069
756	0.6019235414
757	0.6015483099
758	0.6011787207
759	0.6008616426
760	0.6004950085
761	0.6002275122
762	0.5997282197
763	0.5993266616
764	0.5990636333
765	0.5986191229
766	0.5983681891
767	0.5976983975
768	0.5974938696
769	0.5971855157
770	0.5968060562
771	0.5964401885
772	0.5960461536
773	0.5956248933
774	0.5953215636
775	0.5950271604
776	0.5946683539
777	0.5943518594
778	0.5941168634
779	0.5935943424
780	0.5931969077
781	0.5929915791
782	0.5926889863
783	0.5924469186
784	0.5921790745
785	0.591919075
786	0.5916727278
787	0.591418781
788	0.5910083256
789	0.5906078093
790	0.5902511416
791	0.5897807435
792	0.5894818581
793	0.5892809038
794	0.5887723808
795	0.5884709435
796	0.588300688
797	0.5878822884
798	0.5876271297
799	0.5871407865
800	0.5866491363
801	0.5861994588
802	0.5859575195
803	0.5855888399
804	0.5851794374
805	0.584924788
806	0.5844817892
807	0.5842282964
808	0.5837986063
809	0.5834477925
810	0.5830930273
811	0.5826364438
812	0.5822906208
813	0.5816932417
814	0.5812981269
815	0.5811038481
816	0.5808029616
817	0.5805489945
818	0.5801848623
819	0.5797226082
820	0.5793969595
821	0.5789010724
822	0.578355296
823	0.578047082
824	0.5777879992
825	0.5774924116
826	0.5770773345
827	0.5767180497
828	0.5762669814
829	0.5759160639
830	0.5755186944
831	0.5753091737
832	0.5748288014
833	0.5744950494
834	0.5741020475
835	0.573699392
836	0.573340593
837	0.5730132895
838	0.5727330338
839	0.5722784002
840	0.5719318042
841	0.5714740434
842	0.5712033056
843	0.5708693028
844	0.5705428566
845	0.5702638239
846	0.5698865911
847	0.5695344225
848	0.5693060415
849	0.5689472341
850	0.5684534021
851	0.568223545
852	0.5680008129
853	0.567762998
854	0.5675417951
855	0.5673701239
856	0.5668725971
857	0.5665955926
858	0.5663954802
859	0.5661956949
860	0.5657241823
861	0.5653581024
862	0.5651797393
863	0.5648744658
864	0.5646651825
865	0.5643737552
866	0.5639703417
867	0.5635557643
868	0.563148289
869	0.5627243246
870	0.5623646616
871	0.5619970475
872	0.5616958987
873	0.5613114768
874	0.5610363343
875	0.5605932047
876	0.560257627
877	0.5600199891
878	0.5597499581
879	0.5594319977
880	0.5588670189
881	0.5585473732
882	0.5583155745
883	0.5580980978
884	0.5578267283
885	0.5574047323
886	0.5572234867
887	0.5569297868
888	0.5564610594
889	0.5562282367
890	0.5560230484
891	0.5556461464
892	0.5550824969
893	0.5548762689
894	0.5547146108
895	0.5545897528
896	0.5543259309
897	0.5541493153
898	0.5537575657
899	0.5535010356
900	0.5532015252
901	0.5526926404
902	0.552506795
903	0.5524977654
904	0.5521135195
905	0.5517585006
906	0.5515815992
907	0.5512667105
908	0.5509315904
909	0.5507329942
910	0.5503827681
911	0.5501856545
912	0.5497829205
913	0.549772639
914	0.5492998413
915	0.5490196377
916	0.5488286127
917	0.5485137229
918	0.5483078506
919	0.5480097892
920	0.5476557292
921	0.547367053
922	0.5470680701
923	0.5468226761
924	0.5465084542
925	0.5460014909
926	0.5457823372
927	0.5455820424
928	0.5452370495
929	0.5451088912
930	0.5448086329
931	0.5445244754
932	0.5442106519
933	0.5439420966
934	0.5434109295
935	0.543025365
936	0.5427046122
937	0.542380872
938	0.541952444
939	0.5416206789
940	0.5413175943
941	0.5409716909
942	0.5406062491
943	0.5403367692
944	0.5400132461
945	0.5397659443
946	0.5397587443
947	0.5394716708
948	0.5391543397
949	0.5388775797
950	0.5387216969
951	0.5384875378
952	0.5381604465
953	0.5379527097
954	0.5376277228
955	0.5373458947
956	0.537072291
957	0.5367714485
958	0.5364317489
959	0.5362385376
960	0.5358368343
961	0.5356380298
962	0.5353759789
963	0.5351073233
964	0.5349410437
965	0.5345833084
966	0.5343147812
967	0.5340385783
968	0.5340284436
969	0.5336973997
970	0.5334726618
971	0.5332006926
972	0.5328783795
973	0.5325432623
974	0.5322295884
975	0.5320010052
976	0.5317359505
977	0.5317293028
978	0.5315378535
979	0.5313256033
980	0.5310956421
981	0.5308886959
982	0.5306803134
983	0.5304332895
984	0.5301256227
985	0.5298683394
986	0.5294981975
987	0.5292116682
988	0.5290107613
989	0.5287457887
990	0.5286003151
991	0.5282835602
992	0.5277558775
993	0.5274123635
994	0.5269562434
995	0.5267238457
996	0.526571908
997	0.5263252869
998	0.5260030911
999	0.5258040486
